id,name,location,brand,developer,status,opening_year,area_wan_sqm,floors,province,city,city_level,climate_zone,created_at,updated_at,geocode_query,longitude,latitude,geocode_score,geocode_address,geocode_status,geocode_error,geocode_provider,geocode_repaired
645,上海TODTOWN天荟,TODTOWN天荟悦麓，上海市上海市闵行区莘朱路288弄(莘庄地铁站南口旁),新鸿基,新鸿基有限公司,已开业,2025,16.0,,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市上海TODTOWN天荟,121.45806,31.22222,74.68,上海上海市上海市,ok,,arcgis_world_geocoding_repaired_shanghai_bbox,1
648,上海易家中心,上海市金山区城河路373号,,上海同福易家丽投资控股有限公司,已开业,2015,16.0,6,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市金山区城河路373号,121.32315338963,30.732492945226,89.23,上海市金山区城河路,ok,,arcgis_world_geocoding,0
698,上海超极合生汇,合生汇店，上海市上海市杨浦区翔殷路与沙岗路交叉口西北80米,合生,广州超竞投资有限公司,已开业,2025,15.7,4,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,合生汇店，上海市上海市杨浦区翔殷路与沙岗路交叉口西北80米,121.527656698324,31.307025492427,70.35,上海市杨浦区翔殷路,ok,,arcgis_world_geocoding,0
714,上海松江印象城一期,上海市松江区广富林路/松江人民北路,印力地产,印力商用置业有限公司,已开业,2022,15.5,4,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市松江区广富林路/松江人民北路,121.217422085337,31.083000225436,91.25,上海市松江区松江人民北路,ok,,arcgis_world_geocoding,0
718,上海曹路招商花园城,上海市浦东新区顾唐路,招商,招商局蛇口工业区控股股份有限公司,已开业,2023,15.47,5,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市浦东新区顾唐路,121.6522724,31.2682621,100,顾唐路,ok,,arcgis_world_geocoding,0
761,上海中庚漫游城,上海市闵行区闵虹路8号,,中庚置业集团有限公司,已开业,2019,15.0,5,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市闵行区闵虹路8号,121.392203086837,31.131762570404,93.64,上海市闵行区闵虹路,ok,,arcgis_world_geocoding,0
772,上海元祖梦世界,上海市青浦区嘉松中路6088号,,上海元祖梦果子股份有限公司,已开业,2020,15.0,5,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市青浦区嘉松中路6088号,121.213905534232,31.219806565911,88.33,上海市青浦区华新镇嘉松中路,ok,,arcgis_world_geocoding,0
782,上海七宝宝龙城,上海市闵行区漕宝路3299号,宝龙,宝龙地产控股有限公司,已开业,2017,15.0,4,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市闵行区漕宝路3299号,121.362865183199,31.160054506119,87.5,上海市闵行区漕宝路,ok,,arcgis_world_geocoding,0
790,上海东渡蛙城,上海市青浦区淀山湖大道|866号,,东渡丰汇投资发展集团有限公司,已开业,2023,15.0,5,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市青浦区淀山湖大道|866号,121.083482490937,31.140301464324,90.67,上海市青浦区盈浦街道淀山湖大道,ok,,arcgis_world_geocoding,0
837,上海荟聚,上海市闵行区北翟路与北翟高架路出口交叉口东南,,英格卡购物中心（ 中国 ）管理有限公司,已开业,2024,15.0,,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市闵行区北翟路与北翟高架路出口交叉口东南,121.319831642156,31.223822263688,82.45,上海市闵行区北翟高架路,ok,,arcgis_world_geocoding,0
