mall_id,name,province,city,confidence_level,center_lon,center_lat,center_source,reviewer,reason,final_polygon_geojson,review_round,reviewed_at,selected_provider,selected_poi_name,official_coord_evidence
8055,杭州钱塘万象汇,浙江省,杭州市,A,120.26422789,30.18432836,manual_review,admin,,,2,2026-07-17 09:51:03,tencent,杭州萧山万象汇,multi_provider_agree
8070,泰州海陵万达广场,江苏省,泰州市,A,119.91403979,32.46331652,manual_review,admin,,,2,2026-07-20 01:33:01,amap,鑫海城市广场,weak_or_disputed
8078,淮安清江浦万达广场,江苏省,淮安市,A,119.03728715,33.60159912,manual_review,admin,,,2,2026-07-20 01:33:12,amap,淮安万象城,weak_or_disputed
8079,温州瓯海万象汇,浙江省,温州市,A,120.68146546,27.95623183,manual_review,admin,,,2,2026-07-17 09:51:52,amap,温州万象城,multi_provider_agree
8088,盐城城南万达广场,江苏省,盐城市,A,120.12270343,33.36023154,manual_review,admin,,,2,2026-07-20 01:34:07,amap,ID.UNYX空间-盐城万达广场,weak_or_disputed
8095,苏州吴中龙湖天街,江苏省,苏州市,A,120.71919574,31.37528684,manual_review,admin,,,2,2026-07-20 01:35:52,amap,龙湖·苏州星湖天街,weak_or_disputed
8096,苏州常熟永旺梦乐城,江苏省,苏州市,A,120.77372069,31.60351693,manual_review,admin,,,2,2026-07-20 01:37:02,amap,永旺梦乐城,weak_or_disputed
8097,苏州张家港万达广场,江苏省,苏州市,A,120.56583308,31.88574133,manual_review,admin,,,2,2026-07-20 01:37:50,amap,金茂览秀城,weak_or_disputed
8098,苏州高新区狮山天街,江苏省,苏州市,A,120.55191267,31.29652668,manual_review,admin,,,2,2026-07-20 01:38:09,amap,龙湖·苏州狮山天街,weak_or_disputed
8124,连云港海州万达广场,江苏省,连云港市,A,119.21038328,34.61873587,manual_review,admin,,,2,2026-07-20 01:39:16,amap,保真超市(连云港海州万达广场店),single_provider_strong
8163,上海100AM新百安商场,上海市,上海市,A,121.43043032,31.24055503,official_poi_auto,,,,,,tencent,100am新百安商场-南门,multi_provider_agree
8164,上海1088广场,上海市,上海市,A,121.51072372,31.23022122,official_poi_auto,,,,,,tencent,1088广场,multi_provider_agree
8165,上海266新天地,上海市,上海市,A,121.67984056,31.17809949,official_poi_auto,,,,,,tencent,266·新天地,multi_provider_agree
8166,上海CP静安,上海市,上海市,A,121.44181081,31.22732904,official_poi_auto,,,,,,tencent,上海CP静安,multi_provider_agree
8167,上海Gate M西岸梦中心,上海市,上海市,A,121.46084212,31.16334607,official_poi_auto,,,,,,amap,Gate M西岸梦中心,multi_provider_agree
8168,上海HAI550,上海市,上海市,A,121.46381973,31.22293541,official_poi_auto,,,,,,tencent,HAI550,multi_provider_agree
8169,上海PAC购物中心,上海市,上海市,A,121.44086996,31.23387057,manual_review,admin,,,2,2026-07-16 01:48:41,amap,PAC购物中心,single_provider_strong
8170,上海TPY中心,上海市,上海市,A,121.43451044,31.19491694,official_poi_auto,,,,,,amap,TPY中心,multi_provider_agree
8171,上海X88,上海市,上海市,A,121.44675448,31.22527368,official_poi_auto,,,,,,amap,FINEFANzakka,multi_provider_agree
