mall_id,name,province,city,confidence_level,identity_status,selected_poi_name,selected_address,selected_poi_type,selected_lon_wgs84,selected_lat_wgs84,official_coord_evidence,identity_reasons,suspicious_reason
5757,苏州常熟海虞新天地,江苏省,苏州市,C,manual_review,海虞新天地商业广场,江苏省苏州市常熟市人民路218号,购物:综合商场:购物中心,120.79590878,31.74691554,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5763,南京保利若比邻樾广场,江苏省,南京市,C,manual_review,保利樾广场若比邻,江苏省南京市江宁区东山街道龙眠大道南京旅游职业学院旁,购物:综合商场:购物中心,118.88428406,31.93536406,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5778,苏州花桥鑫苑鑫都汇,江苏省,苏州市,C,manual_review,好想来(苏州花桥鑫苑鑫都汇),江苏省苏州市昆山市花桥镇曹新路358号在好想来零食乐园(曹新路店)附近,购物:其它购物,121.14244086,31.29953174,single_provider_strong,name_match_strong|single_provider_strong|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5783,温州泰顺多方城市广场,浙江省,温州市,C,manual_review,温明医视光配镜中心,浙江省温州市泰顺县罗阳镇泰庆北路泰顺多方城市广场,购物:眼镜店,119.71054479,27.57005691,weak_or_disputed,name_match_medium|weak_or_disputed|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5785,嘉兴润家广场,浙江省,嘉兴市,C,manual_review,润家商贸广场,浙江省嘉兴市海盐县环城南路与联翔路交叉口(客运中心正对面),购物:综合商场:购物中心,120.9054711,30.51529988,multi_provider_agree,name_match_weak|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5786,苏州昆山财富广场,江苏省,苏州市,C,manual_review,昆山财富广场,玉山镇登云路,商务住宅;楼宇;商务写字楼,120.88873812,31.40018038,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5807,无锡阳光购物广场,江苏省,无锡市,C,manual_review,阳光购物,祝塘镇人民北路8号,购物服务;商场;普通商场,120.41397858,31.77189964,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5820,扬州星耀天地购物广场,江苏省,扬州市,C,manual_review,星耀天地,江苏省扬州市邗江区国展路29号A栋,购物:综合商场:购物中心,119.37733933,32.38936269,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5850,南京绿国万象都荟,江苏省,南京市,C,manual_review,万象都荟商业广场,永乐路与龙蟠南路交叉口东南140米,购物服务;商场;普通商场|购物服务;商场;购物中心,118.79176625,32.00013265,multi_provider_agree,name_match_weak|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5860,上海九亭旭辉U天地,上海市,上海市,C,manual_review,九亭U天地,上海市松江区蒲汇路168号,购物:综合商场:购物中心,121.32094076,31.14120777,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5864,嘉兴绿地新都会,浙江省,嘉兴市,C,manual_review,嘉兴恒恒照明工程有限公司,大桥镇三环东路嘉兴总部商务花园4号楼绿地新都会17A,公司企业;公司;公司,120.8151945,30.74175483,weak_or_disputed,name_match_medium|weak_or_disputed|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review; second_review=B/C/D needs map-picked A center
5868,南京森林摩尔商业街区,江苏省,南京市,C,manual_review,森林摩尔艺术时尚街区,江苏省南京市玄武区中山门大街301号,购物:综合商场,118.86122222,32.04078145,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5870,嘉兴大象世界购物广场,浙江省,嘉兴市,C,manual_review,新世界购物广场,振兴中路2号,购物服务;商场;商场,120.55565605,30.6320374,weak_or_disputed,name_match_medium|weak_or_disputed|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5892,盐城中南魔力月光,江苏省,盐城市,C,manual_review,盐城魔力月光广场,解放南路与海潮路交汇处中南城购物中心北侧,购物服务;商场;购物中心,120.17238856,33.32564851,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5898,杭州亲橙里,浙江省,杭州市,C,manual_review,亲橙里购物中心,文一西路961号,购物服务;商场;普通商场,120.02501976,30.28362497,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5901,常熟东南邻里生活广场,江苏省,苏州市,C,manual_review,东南邻里生活广场,江苏省苏州市常熟市东南大道101号,购物:综合商场:购物中心,120.78262191,31.60076941,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5906,南京金鹰购物中心（珠江路店）,江苏省,南京市,C,manual_review,南京金鹰湖滨天地A区,江苏省南京市栖霞区学海路1号金鹰奥莱城2层-A01,购物:综合商场,118.92173224,32.10457825,multi_provider_agree,name_match_weak|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5909,上海浦东新大陆广场,上海市,上海市,C,manual_review,新大陆广场,南泉北路528号、588号,购物服务;商场;购物中心,121.51440081,31.23144385,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5910,南京华侨城欢乐滨江一期商业,江苏省,南京市,C,manual_review,华侨城欢乐滨江·城市探索中心,江苏省南京市建邺区扬子江大道888号南京华侨城,生活服务:其它生活服务,118.68373432,31.98810525,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5914,温州平阳中梁百悦广场,浙江省,温州市,C,manual_review,中梁·百悦广场,浙江省温州市平阳县昆阳镇平海大道128号,购物:综合商场:购物中心,120.5728425,27.68369051,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5916,上海南桥新城传悦坊,上海市,上海市,C,manual_review,奉贤南桥传悦坊,上海市奉贤区南桥镇望园南路1799弄1幢38号204室,购物:综合商场,121.48236403,30.92095813,multi_provider_agree,name_match_weak|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
